sentence,onset,offset,duration
当我还只有六岁的时候在一本描写原始森林的名叫真实的故事的书中看到了一幅精彩的插画,0.0,7.47,7.47
画的是一条蟒蛇正在吞食一只大野兽,8.02,11.3,3.280000000000001
页头上就是那幅画的摹本,12.11,14.07,1.9600000000000009
这本书中写道这些蟒蛇把它们的猎获物不加咀嚼地囫囵吞下尔后就不能再动弹了,14.98,22.09,7.109999999999999
它们就在长长的六个月的睡眠中消化这些食物,22.83,26.22,3.3900000000000006
当时我对丛林中的奇遇想得很多,27.27,30.03,2.7600000000000016
于是我也用彩色铅笔画出了我的第一幅图画,30.68,34.13,3.450000000000003
我的第一号作品它是这样的,34.63,37.38,2.75
我把我的这幅杰作拿给大人看,38.73,40.74,2.010000000000005
我问他们我的画是不是叫他们害怕,41.41,44.0,2.5900000000000034
他们回答我说害怕一顶帽子有什么可怕的,44.89,49.6,4.710000000000001
我画的不是帽子是一条巨蟒在消化着一头大象,50.55,54.39,3.8400000000000034
既然大人们不能够理解于是我又把巨蟒肚子里的情况画了出来以便让大人们能够看懂,55.23,61.97,6.740000000000002
这些大人总是需要解释,62.7,64.53,1.8299999999999983
我的第二号作品是这样的,65.66,67.56,1.9000000000000057
大人们劝我把这些画着开着肚皮的或闭上肚皮的蟒蛇的图画放在一边还是把兴趣放在地理历史算术语法上,68.75,77.91,9.159999999999997
就这样在六岁的那年我就放弃了当画家这一美好的职业,78.76,83.63,4.86999999999999
我的第一号第二号作品的不成功使我泄了气,84.36,87.82,3.4599999999999937
这些大人们靠他们自己什么也弄不懂还得老是不断地给他们做解释,88.64,93.93,5.290000000000006
后来我只好选择了另外一个职业,95.05,97.63,2.5799999999999983
我学会了开飞机,98.24,99.46,1.2199999999999989
世界各地差不多都飞到过,100.07,101.71,1.6400000000000006
的确地理学帮了我很大的忙,102.28,104.78,2.5
我一眼就能分辨出中国和亚利桑那,105.35,107.7,2.3500000000000085
要是夜里迷失了航向这是很有用的,108.41,110.7,2.2900000000000063
这样在我的生活中我跟许多严肃的人有过很多的接触,111.58,115.83,4.25
我在大人们中间生活过很长时间,116.45,118.51,2.0600000000000023
我仔细地观察过他们但这并没有使我对他们的看法有多大的改变,119.25,124.18,4.930000000000007
当我遇到一个头脑看来稍微清楚的大人时我就拿出一直保存着的我那第一号作品来测试测试他,124.92,132.24,7.320000000000007
我想知道他是否真的有理解能力可是得到的回答总是这是顶帽子,133.03,139.44,6.409999999999997
我就不和他谈巨蟒呀原始森林呀或者星星之类的事儿,140.38,144.33,3.950000000000017
我只得迁就他的水平和他们谈些桥牌呀高尔夫球呀政治呀领带呀这些,144.86,150.76,5.899999999999977
于是大人们就十分高兴能认识我这样一个通情达理的人,151.64,156.02,4.380000000000024
我就这样孤独地生活着,157.26,158.86,1.6000000000000227
没有一个能真正谈得来的人,159.59,161.18,1.5900000000000034
一直到六年前在撒哈拉沙漠上发生了那次故障,161.77,165.43,3.6599999999999966
我的发动机里有个东西损坏了,166.13,167.98,1.8499999999999943
当时由于我既没有带机械师也没有带旅客我就试图独自完成这个困难的维修工作,168.75,175.31,6.560000000000002
这对我来说是个生与死的问题,176.16,178.56,2.4000000000000057
我随身带的水只够饮用一星期,179.25,181.7,2.4499999999999886
第一天晚上我就睡在这远离人间烟火的大沙漠上,182.6,186.15,3.5500000000000114
我比大海中伏在小木排上的遇难者还要孤独得多,186.83,190.54,3.7099999999999795
而在第二天拂晓当一个奇怪的小声音叫醒我的时候你们可以想见我当时是多么吃惊,191.57,198.41,6.840000000000003
这小小的声音说道请你给我画一只羊好吗,199.34,203.43,4.090000000000003
啊,204.3,204.58,0.28000000000000114
给我画一只羊,205.46,206.44,0.9799999999999898
我像是受到惊雷轰击一般一下子就站立起来,207.46,210.66,3.1999999999999886
我使劲地揉了揉眼睛仔细地看了看,211.5,213.88,2.3799999999999955
我看见一个十分奇怪的小家伙严肃地朝我凝眸望着,214.44,218.33,3.890000000000015
这是后来我给他画出来的最好的一幅画像,219.26,222.14,2.8799999999999955
可是我的画当然要比他本人的模样逊色得多,223.24,227.34,4.099999999999994
这不是我的过错,228.05,229.17,1.1199999999999761
六岁时大人们使我对我的画家生涯失去了勇气,230.47,234.35,3.8799999999999955
除了画过开着肚皮和闭着肚皮的蟒蛇后来再没有学过画,235.03,238.96,3.930000000000007
我惊奇地睁大着眼睛看着这突然出现的小家伙,239.57,243.49,3.920000000000016
你们不要忘记我当时处在远离人烟千里之外的地方,244.15,248.43,4.280000000000001
而这个小家伙给我的印象是他既不像迷了路的样子也没有半点疲乏饥渴惧怕的神情,248.87,256.59,7.71999999999997
他丝毫不像是一个迷失在旷无人烟的大沙漠中的孩子,257.35,261.36,4.009999999999991
当我在惊讶之中终于又能说出话来的时候对他说道唉你在这儿干什么,262.08,268.91,6.830000000000041
可是他却不慌不忙地好像有一件重要的事一般对我重复地说道请给我画一只羊,269.84,277.5,7.660000000000025
当一种神秘的东西把你镇住的时候你是不敢不听从它的支配的,278.43,283.25,4.819999999999993
在这旷无人烟的沙漠上面临死亡的危险的情况下尽管这样的举动使我感到十分荒诞我还是掏出了一张纸和一支钢笔,284.03,293.68,9.650000000000034
这时我却又记起我只学过地理历史算术和语法就有点不大高兴地对小家伙说我不会画画,294.48,303.94,9.45999999999998
他回答我说没有关系给我画一只羊吧,304.78,308.46,3.680000000000007
因为我从来没有画过羊我就给他重画我所仅仅会画的两幅画中的那幅闭着肚皮的巨蟒,309.23,316.19,6.9599999999999795
不不,316.96,318.05,1.0900000000000318
我听了他的话简直目瞪口呆,318.9,321.03,2.1299999999999955
我不要蟒蛇,321.66,322.71,1.0499999999999545
它肚子里还有一头象,323.28,324.93,1.650000000000034
巨蟒这东西太危险,325.56,326.95,1.3899999999999864
大象又太占地方,327.39,328.81,1.420000000000016
我住的地方非常小,329.39,330.8,1.410000000000025
我需要一只羊,331.26,332.19,0.9300000000000068
给我画一只羊吧,332.81,334.32,1.509999999999991
我就给他画了,335.47,336.38,0.9099999999999682
他专心地看着随后又说我不要,337.09,340.44,3.3500000000000227
这只羊已经病得很重了,341.08,343.04,1.9600000000000364
给我重新画一只,343.67,344.82,1.1499999999999773
我又画了起来,345.76,346.71,0.9499999999999886
我的这位朋友天真可爱地笑了,347.31,349.54,2.230000000000018
你看你画的不是小羊他说,350.39,354.06,3.670000000000016
是头公羊还有犄角呢,354.83,357.1,2.2700000000000387
于是我又重新画了一张,358.15,360.28,2.1299999999999955
这幅画同前几幅一样又被拒绝了,361.15,363.71,2.5600000000000023
这一只太老了,364.58,365.73,1.150000000000034
我想要一只能活得长的羊,366.26,368.47,2.2100000000000364
我不耐烦了,369.44,370.2,0.7599999999999909
因为我急于要检修发动机于是就草草画了这张画并且匆匆地对他说道这是一只箱子,370.71,378.68,7.970000000000027
你要的羊就在里面,379.23,380.55,1.3199999999999932
这时我十分惊奇地看到我的这位小评判员喜笑颜开,381.59,385.75,4.160000000000025
他说这正是我想要的,386.53,389.07,2.5400000000000205
你说这只羊需要很多草吗,389.69,391.96,2.269999999999982
为什么,392.87,393.29,0.4200000000000159
因为我住的地方一切都非常小,394.13,396.39,2.259999999999991
地方小也够喂养它的我说,397.14,400.07,2.930000000000007
我给你画的是一只很小的小羊,400.62,402.94,2.319999999999993
他把脑袋靠近这张画,403.84,405.29,1.4500000000000455
并不像你说的那么小,406.22,407.7,1.4799999999999613
瞧它睡着了,408.35,409.87,1.5199999999999818
就这样我认识了小王子,410.4,413.42,3.0200000000000387
我费了好长时间才弄清楚他是从哪里来的,414.63,417.72,3.090000000000032
小王子向我提出了很多问题,418.51,420.61,2.1000000000000227
可是对我提出的问题他好像压根儿没有听见似的,421.12,424.44,3.319999999999993
他无意中吐露的一些话逐渐使我搞清了他的来历,425.3,428.47,3.170000000000016
例如当他第一次瞅见我的飞机时我就不画出我的飞机了因为这种图画对我来说太复杂他问我道这是个啥玩意儿,429.12,439.14,10.019999999999982
这不是玩意儿,440.07,440.94,0.8700000000000045
它能飞,441.38,441.89,0.5099999999999909
这是飞机,442.5,443.14,0.6399999999999864
是我的飞机,443.43,444.32,0.8899999999999864
我当时很骄傲地告诉他我能飞,445.08,447.08,2.0
于是他惊奇地说道怎么你是从天上掉下来的,447.87,451.93,4.060000000000002
是的我谦逊地答道,452.67,454.61,1.9399999999999977
啊这真滑稽,455.1,456.75,1.6499999999999773
此时小王子发出一阵清脆的笑声,457.71,460.23,2.5200000000000387
这使我很不高兴,460.9,462.01,1.1100000000000136
我要求别人严肃地对待我的不幸,462.64,464.58,1.9399999999999977
然后他又说道那么你也是从天上来的了,465.29,469.1,3.8100000000000023
你是哪个星球上的,469.66,471.23,1.5699999999999932
即刻对于他是从哪里来的这个秘密我隐约发现到了一点线索,472.27,477.02,4.75
于是我就突然问道你是从另一个星球上来的吗,477.68,481.95,4.269999999999982
可是他不回答我的问题,482.91,484.27,1.3599999999999568
他一面看着我的飞机一面微微地点点头接着说道可不是吗,484.7,489.84,5.139999999999986
乘坐这玩意儿你不可能是从很远的地方来的,490.39,493.63,3.240000000000009
说到这里他就长时间地陷入沉思之中,494.55,497.43,2.8799999999999955
然后从口袋里掏出了我画的小羊看着他的宝贝入了神,498.08,502.08,4.0
你们可以想见这种关于别的星球的若明若暗的话语使我心里多么好奇,502.63,507.48,4.850000000000023
因此我竭力地想知道其中更多的奥秘,508.01,510.86,2.8500000000000227
你是从哪里来的我的小家伙,511.48,513.5,2.019999999999982
你的家在什么地方,514.11,515.21,1.1000000000000227
你要把你的小羊带到哪里去,515.75,517.43,1.67999999999995
他沉思了一会儿然后回答我说好在有你给我的那只箱子夜晚可以给小羊当房子用,518.35,525.25,6.899999999999977
那当然如果你听话的话我再给你画一根绳子,526.15,529.81,3.659999999999968
白天可以拴住它,530.19,531.16,0.9699999999999136
我的建议看来有点儿使小王子反感,532.23,534.61,2.3799999999999955
拴住它,535.37,536.01,0.6399999999999864
多么奇怪的主意,536.55,537.52,0.9700000000000273
如果你不拴住它它就到处跑,538.79,540.92,2.1299999999999955
那么它会跑丢的,541.32,542.27,0.9499999999999318
我的这位朋友又笑出了声你想要它跑到哪里去呀,543.2,547.55,4.349999999999909
不管什么地方它一直往前跑,548.51,550.64,2.1299999999999955
这时小王子郑重其事地说这没有什么关系,551.44,555.58,4.139999999999986
我那里很小很小,556.11,557.74,1.6299999999999955
接着他略带伤感地又补充了一句一直朝前走也不会走出多远,558.7,564.95,6.25
我还了解到另一件重要的事儿就是他老家所在的那个星球比一座房子大不了多少,564.99,571.1700000000001,6.180000000000064
这倒并没有使我感到太奇怪,572.0200000000001,573.7700000000001,1.75
我知道除地球木星火星金星这几个有名称的大行星以外还有成百个别的星球,574.45,581.1,6.649999999999977
它们有的小得很就是用望远镜也很难看见,581.6600000000001,585.34,3.67999999999995
当一个天文学者发现了其中一个星星他就给它编上一个号码例如把它称作325小行星,586.45,593.7800000000001,7.330000000000041
我有重要的根据认为小王子所来自的那个星球是小行星B612,594.49,599.9100000000001,5.420000000000073
这颗小行星仅仅被用望远镜看见过一次,600.6,603.8000000000001,3.2000000000000455
在1909年被一个土耳其天文学家,604.57,607.2900000000001,2.7200000000000273
当时他曾经在一次国际天文学家代表大会上对他的发现做了重要的论证,607.9000000000001,614.36,6.459999999999923
但由于他所穿衣服的缘故那时没有人相信他,615.0200000000001,618.88,3.8599999999999
那些大人们就是这样,619.5500000000001,621.34,1.7899999999999636
幸好土耳其的一个独裁者为了小行星B612的声誉迫使他的人民都要穿欧式服装否则就处以死刑,622.0,632.08,10.080000000000041
1920年这位天文学家穿了一身儿非常漂亮的服装重新做了一次论证,633.0600000000001,638.48,5.419999999999959
这一次所有的人都同意他的看法,639.2,641.5600000000001,2.3600000000000136
我给你们讲关于小行星B612的这些细节并且告诉你们它的编号这是由于这些大人的缘故,642.3800000000001,650.11,7.7299999999999045
当你对大人们讲起你的一个新朋友时他们从来不向你提出实质性的问题,650.94,655.7800000000001,4.840000000000032
他们从来不讲他说话声音如何啊他喜爱什么样的游戏啊他是否收集蝴蝶标本呀,656.22,663.23,7.009999999999991
他们却问你他多大年纪呀弟兄几个呀体重多少呀他父亲挣多少钱呀,664.0300000000001,670.75,6.719999999999914
他们以为这样才算了解朋友,671.82,674.1300000000001,2.310000000000059
如果你对大人们说我看到一栋用玫瑰色的砖盖成的漂亮的房子,674.95,679.9000000000001,4.9500000000000455
它的窗户上有天竺葵屋顶上还有鸽子,680.5400000000001,683.86,3.3199999999999363
他们怎么也想象不出这种房子有多么好,684.59,687.1300000000001,2.5400000000000773
必须对他们说我看见了一栋价值十万法郎的房子,687.9200000000001,691.5400000000001,3.6200000000000045
那么他们就惊叫道多么漂亮的房子啊,691.98,694.99,3.009999999999991
要是你对他们说小王子存在的证据就是他非常漂亮,695.9100000000001,700.35,4.439999999999941
他笑着想要一只羊,700.94,702.6400000000001,1.7000000000000455
他想要一只小羊,703.27,704.45,1.1800000000000637
这就证明他的存在,704.96,706.1,1.1399999999999864
但是告诉他们有什么好处呢,707.0500000000001,709.11,2.0599999999999454
他们一定会耸耸肩膀把你当作孩子看待,709.6800000000001,712.5600000000001,2.8799999999999955
但是如果你对他们说小王子来自的星球就是小行星B612,713.44,719.0600000000001,5.6200000000000045
那么他们就十分信服,719.6300000000001,721.02,1.3899999999998727
